cron_datetime,npc_kills,pod_kills,ship_jumps,ship_kills
2017-11-18 02:06:02.646017,317943,604,136456,1182
2017-11-18 03:06:03.127378,331990,604,135537,1149
2017-11-18 04:06:02.611034,354859,792,138771,1395
2017-11-18 05:06:02.959845,358838,849,139350,1498
2017-11-18 06:06:02.384738,345848,627,134185,1165
2017-11-18 07:06:03.133892,354476,578,125255,1001
2017-11-18 08:06:02.513948,390313,502,121192,902
2017-11-18 09:06:03.013058,441948,442,128572,812
2017-11-18 10:06:02.439247,479662,456,140901,879
2017-11-18 11:06:02.552097,499072,484,151709,915
2017-11-18 12:06:02.623996,365319,414,127748,718
2017-11-18 13:06:03.016365,407133,423,132849,821
2017-11-18 14:06:07.681307,639136,566,178641,1181
2017-11-18 15:06:03.111202,688764,660,206204,1438
2017-11-18 16:06:02.633859,663957,779,223883,1719
2017-11-18 17:06:08.292622,625238,844,234298,1676
2017-11-18 18:06:02.885146,603212,928,239998,1718
2017-11-18 19:06:02.389517,577345,1021,244150,1833
2017-11-18 20:06:02.910343,559272,981,247682,1957
2017-11-18 21:06:02.490144,544200,1106,249233,2719
2017-11-18 22:06:02.936736,528294,1162,245945,2787
2017-11-18 23:06:02.457360,487663,1114,242241,2429
2017-11-19 00:06:02.911961,433647,1152,225701,2420
2017-11-19 01:06:02.458514,390871,1364,197350,1994
2017-11-19 02:06:02.898894,364141,1241,175314,1573
2017-11-19 03:06:02.210840,347727,914,162766,1382
2017-11-19 04:06:03.105105,356376,829,156358,1564
2017-11-19 05:06:02.917110,360454,795,150131,1617
2017-11-19 06:06:02.356359,364907,766,145708,1292
2017-11-19 07:06:02.679395,399575,598,139791,1008
2017-11-19 08:06:08.460800,456121,500,138019,912
2017-11-19 09:06:03.017569,518894,455,149344,919
2017-11-19 10:06:02.418498,586710,500,161533,932
2017-11-19 11:06:02.607055,629031,568,178195,979
2017-11-19 12:06:02.832919,384940,381,124794,653
2017-11-19 13:06:03.348199,368740,422,123733,664
2017-11-19 14:06:03.007531,662543,692,203091,1567
2017-11-19 15:06:02.517891,723207,867,229980,1966
2017-11-19 16:06:03.095206,705504,991,245321,1776
2017-11-19 17:06:02.541652,701778,925,253448,1769
2017-11-19 18:06:03.021922,673320,1049,257024,2001
2017-11-19 19:06:02.607743,622200,1102,261352,2036
2017-11-19 20:06:04.819444,583495,1039,268305,1881
2017-11-19 21:06:02.521296,542217,1366,268103,2405
2017-11-19 22:06:03.128279,513550,1475,260300,2633
2017-11-19 23:06:02.635179,490636,1098,233523,2083
2017-11-20 00:06:03.050360,443963,919,197104,1705
2017-11-20 01:06:02.539264,365244,731,168406,1302
2017-11-20 02:06:03.095545,328081,710,152469,1043
2017-11-20 03:06:02.637115,331563,734,141667,1047
2017-11-20 04:06:03.031607,329064,622,126926,1066
2017-11-20 05:06:02.558992,322738,510,121493,906
2017-11-20 06:06:03.207264,321578,414,111382,803
2017-11-20 07:06:03.003608,326288,402,103753,801
2017-11-20 08:06:03.108040,360468,321,101878,719
2017-11-20 09:06:02.535767,417479,287,103551,605
2017-11-20 10:06:02.902889,457635,279,104432,565
2017-11-20 11:06:02.952336,454721,298,109551,588
2017-11-20 12:06:03.189263,267048,239,77944,392
2017-11-20 13:06:02.586195,277873,255,79318,328
2017-11-20 14:06:03.094238,503436,386,130514,594
2017-11-20 15:06:02.800250,553829,428,145393,689
2017-11-20 16:06:02.317625,552110,540,151388,901
2017-11-20 17:06:02.684557,555127,635,166102,1050
2017-11-20 18:06:03.095269,574878,602,181247,1021
2017-11-20 19:06:03.968471,581228,681,197531,1167
2017-11-20 20:06:02.557112,589953,815,211767,1353
2017-11-20 21:06:03.092808,567922,908,217116,1661
2017-11-20 22:06:03.340786,499400,996,214236,1815
2017-11-20 23:06:02.811040,440654,866,195041,1498
2017-11-21 00:06:03.392860,369773,677,164913,1197
2017-11-21 01:06:02.865118,323223,538,142783,1015
2017-11-21 02:06:02.433070,309969,481,130928,973
2017-11-21 03:06:02.921597,303598,523,126308,1125
2017-11-21 04:06:02.257757,307095,628,128731,1389
2017-11-21 05:06:02.794662,317228,660,128996,1328
2017-11-21 06:06:03.126663,332598,568,120155,983
2017-11-21 07:06:03.110837,336443,453,110876,770
2017-11-21 08:06:02.621752,357853,361,105481,702
2017-11-21 09:06:03.019866,404272,321,106059,620
2017-11-21 10:06:02.449664,449334,346,106804,564
2017-11-21 11:06:02.503517,449511,409,111451,568
2017-11-21 12:06:02.627078,295251,315,88346,402
2017-11-21 13:06:03.082000,325114,331,93350,408
2017-11-21 14:06:02.396569,536756,513,132649,717
2017-11-21 15:06:02.972447,581583,593,143136,857
2017-11-21 16:06:02.421375,584861,599,149181,867
2017-11-21 17:06:02.957479,590349,583,161545,947
2017-11-21 18:06:02.593641,584897,720,178749,1081
2017-11-21 19:06:03.159183,570352,812,196744,1205
2017-11-21 20:06:02.625974,545762,1016,214441,1630
2017-11-21 21:06:03.053027,520395,1151,223813,1898
2017-11-21 22:06:02.414114,489785,1239,219482,1874
2017-11-21 23:06:03.054689,441867,1076,198185,1578
2017-11-22 00:06:02.586870,391525,687,166382,1093
2017-11-22 01:06:02.978751,353753,588,139619,907
2017-11-22 02:06:02.629776,329741,635,128440,846
2017-11-22 03:06:02.990626,324840,687,128035,784
2017-11-22 04:06:02.505066,322426,616,127762,789
2017-11-22 05:06:02.923955,317858,488,123664,812
2017-11-22 06:06:02.994353,331276,513,114729,896
2017-11-22 07:06:03.336404,350714,482,108341,831
2017-11-22 08:06:02.894065,375894,352,104475,617
2017-11-22 09:06:02.331491,416573,327,102924,588
2017-11-22 10:06:02.812110,448168,330,106861,596
2017-11-22 11:06:03.196385,434853,401,113348,679
2017-11-22 12:06:02.627963,299879,336,90283,592
2017-11-22 13:06:02.994462,338358,300,92313,617
2017-11-22 14:06:02.384532,516060,461,130333,849
2017-11-22 15:06:02.858856,559828,539,143188,935
2017-11-22 16:06:02.753394,586898,478,155280,992
2017-11-22 17:06:03.307392,611890,501,170031,984
2017-11-22 18:06:02.890836,603966,674,184337,1161
2017-11-22 19:06:02.334850,580664,873,199533,1287
2017-11-22 20:06:02.818217,558136,968,218488,1382
2017-11-22 21:06:02.262534,535303,988,230902,1621
2017-11-22 22:06:02.918247,476556,1050,232795,1729
2017-11-22 23:06:02.352338,424816,892,204503,1522
2017-11-23 00:06:02.802847,384426,646,163485,1235
2017-11-23 01:06:03.272700,339721,560,139864,1069
2017-11-23 02:06:02.626835,312010,686,127842,1090
2017-11-23 03:06:02.950321,312057,716,123172,1022
2017-11-23 04:06:02.430623,322945,556,122540,934
2017-11-23 05:06:02.856728,329693,479,122308,903
2017-11-23 06:06:03.242075,342747,474,118923,892
2017-11-23 07:06:02.918677,346678,447,115086,774
2017-11-23 08:06:02.826561,349081,384,111694,679
2017-11-23 09:06:03.303188,378387,358,109893,710
2017-11-23 10:06:02.968467,408184,337,111509,661
2017-11-23 11:06:03.012854,407755,303,111613,587
2017-11-23 12:06:03.193167,277236,241,86522,441
2017-11-23 13:06:02.675330,313136,293,85221,577
2017-11-23 14:06:03.350761,500983,374,120930,815
2017-11-23 15:06:02.988648,562788,372,135069,808
2017-11-23 16:06:02.642864,577127,469,152760,937
2017-11-23 17:06:02.965512,583720,610,169103,1122
2017-11-23 18:06:02.416838,571838,742,187085,1302
2017-11-23 19:06:02.898259,567334,917,205839,1519
2017-11-23 20:06:02.847039,574230,1078,218655,1835
2017-11-23 21:06:02.466043,573198,1090,220557,1840
2017-11-23 22:06:02.861732,525751,1003,208825,1662
2017-11-23 23:06:02.319475,456765,917,187641,1544
2017-11-24 00:06:02.936911,373863,807,156612,1407
2017-11-24 01:06:02.413325,319503,609,129443,1104
2017-11-24 02:06:03.074205,300131,459,115381,787
2017-11-24 03:06:02.662404,310868,449,113439,743
2017-11-24 04:06:03.224063,325308,452,113924,834
2017-11-24 05:06:02.759219,328930,514,114531,959
2017-11-24 06:06:03.113398,332126,480,113401,850
2017-11-24 07:06:03.011336,344489,347,108166,620
2017-11-24 08:06:02.883057,383327,330,104962,628
2017-11-24 09:06:03.342345,424453,321,106308,574
2017-11-24 10:06:02.722562,453662,342,108464,543
2017-11-24 11:06:02.733514,435616,334,113582,574
2017-11-24 12:06:03.251059,310807,219,91943,431
2017-11-24 13:06:02.690383,377531,248,92816,478
2017-11-24 14:06:03.016342,551220,372,131997,760
2017-11-24 15:06:02.569237,594246,442,150730,926
2017-11-24 16:06:03.063857,613075,481,161592,1005
2017-11-24 17:06:02.486583,605494,565,174255,1155
2017-11-24 18:06:03.225946,584749,718,188934,1257
2017-11-24 19:06:02.878695,552841,871,207716,1475
2017-11-24 20:06:02.472628,528648,1019,224318,1737
2017-11-24 21:06:03.117534,519408,1083,237291,1844
2017-11-24 22:06:02.732531,510842,1088,240586,1992
2017-11-24 23:06:02.665925,493039,1092,223775,2035
2017-11-25 00:06:03.184920,426335,1082,197927,1917
2017-11-25 01:06:03.353165,364109,886,175110,1606
2017-11-25 02:06:02.929267,342139,689,154985,1315
2017-11-25 03:06:02.380397,342721,671,144245,1240
2017-11-25 04:06:02.800419,351270,598,141965,1157
2017-11-25 05:06:03.313873,356859,534,139764,1061
2017-11-25 06:06:02.834835,351842,524,137634,1019
2017-11-25 07:06:02.517128,374613,553,137128,1099
2017-11-25 08:06:02.997227,443571,540,137411,985
2017-11-25 09:06:02.516383,505765,480,140418,836
2017-11-25 10:06:03.103854,541408,526,151125,952
2017-11-25 11:06:03.214034,496926,557,163143,991
2017-11-25 12:06:02.495576,357697,455,133148,761
2017-11-25 13:06:03.001676,415046,502,134367,926
2017-11-25 14:06:02.467052,571135,735,187750,1261
2017-11-25 15:06:03.019846,562704,873,205647,1540
2017-11-25 16:06:02.537341,551641,1232,220267,2105
2017-11-25 17:06:03.116751,548079,1405,236861,2186
2017-11-25 18:06:02.702706,562522,1434,242993,2199
2017-11-25 19:06:03.345198,544681,1227,244150,2002
2017-11-25 20:06:02.935229,524629,1224,249227,2031
2017-11-25 21:06:02.577327,519687,1326,257494,2262
2017-11-25 22:06:03.066769,505633,1179,257347,2098
2017-11-25 23:06:03.382552,466724,1128,241408,1985
2017-11-26 00:06:03.064726,405202,1111,223887,1789
2017-11-26 01:06:03.089128,361421,915,199981,1445
2017-11-26 02:06:02.525785,333720,646,175365,1168
2017-11-26 03:06:02.984153,334839,625,157843,1185
2017-11-26 04:06:02.405822,333609,590,145362,1148
2017-11-26 05:06:02.980682,328405,605,149655,1070
2017-11-26 06:06:02.411776,349375,625,148434,1038
2017-11-26 07:06:02.976468,374044,608,140533,1127
2017-11-26 08:06:02.697823,423555,578,140129,1075
2017-11-26 09:06:03.172765,498871,528,150439,939
2017-11-26 10:06:02.619620,571398,563,166760,1003
2017-11-26 12:06:02.985319,530396,549,147768,943
2017-11-26 13:06:02.435024,431055,533,148227,861
2017-11-26 14:06:02.904365,568175,919,200471,1135
2017-11-26 15:06:02.542207,672343,1175,224745,1394
2017-11-26 16:06:02.998958,648373,953,243225,1488
2017-11-26 17:06:02.705975,637769,1010,253885,1837
2017-11-26 18:06:03.265071,617584,1183,259245,2137
2017-11-26 19:06:02.862062,597501,1193,262587,2181
2017-11-26 20:06:02.497576,589815,1136,264082,1952
2017-11-26 21:06:03.207706,566240,1235,270894,2086
2017-11-26 22:06:02.838942,539723,1303,269137,2311
2017-11-26 23:06:02.298438,502783,1167,239991,2187
2017-11-27 00:06:02.750251,417084,1066,193990,1964
2017-11-27 01:06:02.625271,360534,911,166319,1649
2017-11-27 02:06:03.066387,325372,803,146776,1238
2017-11-27 03:06:02.526273,314234,786,138029,1015
2017-11-27 04:06:03.001537,312336,686,130580,1026
2017-11-27 05:06:02.826481,310178,564,123070,963
2017-11-27 06:06:02.312099,316687,531,119836,882
2017-11-27 07:06:02.481685,321415,511,113425,820
2017-11-27 08:06:02.917814,349872,415,105642,724
2017-11-27 09:06:02.655782,381975,378,106805,623
2017-11-27 10:06:03.086726,422025,345,112187,628
2017-11-27 11:06:03.060149,472382,289,117749,629
2017-11-27 12:06:03.267279,370674,293,94493,545
2017-11-27 13:06:02.891441,328220,313,95738,551
2017-11-27 14:06:02.370494,490260,374,133764,672
2017-11-27 15:06:02.839781,579935,446,147943,727
2017-11-27 16:06:02.315477,577002,475,157493,804
2017-11-27 17:06:02.889130,578373,535,169155,913
2017-11-27 18:06:02.460818,568112,607,182524,996
2017-11-27 19:06:03.080018,563270,843,195435,1147
2017-11-27 20:06:02.551217,569939,1091,210556,1417
2017-11-27 21:06:02.999726,560526,1255,227094,1869
2017-11-27 22:06:02.707569,521830,1391,225161,2355
2017-11-27 23:06:02.333001,460963,1234,207983,2031
2017-11-28 00:06:02.775890,396744,795,171635,1316
2017-11-28 01:06:03.283166,346297,584,144112,1020
2017-11-28 02:06:02.788278,312997,489,135728,923
2017-11-28 03:06:03.286684,293177,501,136561,881
2017-11-28 04:06:02.692752,303826,547,140063,863
2017-11-28 05:06:03.112477,317057,579,128195,950
2017-11-28 06:06:02.673841,324648,498,119618,873
2017-11-28 07:06:02.295955,342158,346,111651,622
2017-11-28 08:06:02.612846,370238,353,106094,555
2017-11-28 09:06:03.235193,408125,415,107205,597
2017-11-28 10:06:02.861883,439580,379,112421,589
2017-11-28 11:06:02.912574,454556,334,115183,615
2017-11-28 12:06:03.222995,339606,284,91188,588
2017-11-28 13:06:02.815592,318890,242,93651,496
2017-11-28 14:06:03.347038,490294,340,127948,709
2017-11-28 15:06:02.976798,575405,450,141918,947
2017-11-28 16:06:02.496071,571150,475,150535,884
2017-11-28 17:06:03.168367,573845,461,165601,828
2017-11-28 18:06:02.819857,588983,557,183566,1024
2017-11-28 19:06:02.225760,555027,655,197647,1155
2017-11-28 20:06:02.823337,528538,784,213479,1274
2017-11-28 21:06:02.404903,505550,850,217893,1498
2017-11-28 22:06:03.078604,462930,1028,214227,1724
2017-11-28 23:06:02.761794,425305,1095,192259,1654
2017-11-29 00:06:03.278758,378916,778,156284,1231
2017-11-29 01:06:02.653100,337951,568,136619,929
2017-11-29 02:06:03.191609,302017,868,128236,826
2017-11-29 03:06:02.762431,288102,989,127904,828
2017-11-29 04:06:03.253207,289928,661,121640,892
2017-11-29 05:06:02.561272,289081,565,119628,930
2017-11-29 06:06:03.384422,301562,542,118228,943
2017-11-29 07:06:02.985106,318508,491,108522,853
2017-11-29 08:06:02.571701,340728,394,103283,633
2017-11-29 09:06:02.929208,388993,313,106301,566
2017-11-29 10:06:02.480310,440002,310,114576,558
2017-11-29 11:06:02.420359,439918,367,121837,601
2017-11-29 12:06:02.957358,320149,331,93712,504
2017-11-29 13:06:02.509131,350408,244,93678,461
2017-11-29 14:06:03.017667,529260,366,133443,687
2017-11-29 15:06:02.669358,563310,459,148262,850
2017-11-29 16:06:03.173083,546613,531,156541,950
2017-11-29 17:06:02.736050,560626,553,164977,958
2017-11-29 18:06:03.186976,597978,506,173334,1062
2017-11-29 19:06:02.779689,616920,605,188594,1247
2017-11-29 20:06:03.423464,604812,767,207579,1435
2017-11-29 21:06:02.977825,551746,857,209568,1526
2017-11-29 22:06:02.482318,513707,868,200795,1422
2017-11-29 23:06:02.952669,442814,801,182413,1424
2017-11-30 00:06:02.483369,368801,666,160671,1274
2017-11-30 01:06:03.169172,332001,547,139351,940
2017-11-30 02:06:02.769257,308764,467,128067,785
2017-11-30 03:06:03.289769,300746,498,124862,852
2017-11-30 04:06:02.774123,306286,545,127609,951
2017-11-30 05:06:03.159699,308515,482,124952,854
2017-11-30 06:06:02.565483,316672,454,118849,764
2017-11-30 07:06:02.526897,330810,418,111601,709
2017-11-30 08:06:03.020933,359430,364,108488,640
2017-11-30 09:06:02.621690,409292,317,108350,576
2017-11-30 10:06:03.143328,454750,357,111852,624
2017-11-30 11:06:03.199889,481899,377,119223,669
2017-11-30 12:06:02.300060,326574,291,93117,491
2017-11-30 13:06:02.665680,342591,295,89473,479
2017-11-30 14:06:02.397698,520784,416,125867,715
2017-11-30 15:06:02.847346,525518,447,137764,792
2017-11-30 16:06:02.387882,517050,429,143849,774
2017-11-30 17:06:03.213954,534123,531,154007,882
2017-11-30 18:06:03.047773,550235,715,168722,1178
2017-11-30 19:06:02.591448,561013,915,185974,1456
2017-11-30 20:06:03.192385,568452,957,202513,1707
2017-11-30 21:06:02.761154,543090,900,217730,1819
2017-11-30 22:06:03.324115,480117,875,209993,1723
2017-11-30 23:06:02.757917,422686,849,188325,1593
2017-12-01 00:11:22.915433,364716,751,159786,1339
2017-12-01 01:06:03.364215,325106,580,136587,997
2017-12-01 02:06:02.939278,313309,456,124706,792
2017-12-01 03:06:02.463907,299757,578,125781,907
2017-12-01 04:06:02.902624,300800,630,130460,986
2017-12-01 05:06:02.433747,308356,568,128504,995
2017-12-01 06:06:02.479181,326371,575,120950,977
2017-12-01 07:06:02.610874,324298,414,112506,780
2017-12-01 08:06:03.213321,350631,369,106637,674
2017-12-01 09:06:02.916374,391975,444,109395,720
2017-12-01 10:06:02.395693,435160,455,114999,770
2017-12-01 11:06:02.474542,439522,515,121527,841
2017-12-01 12:06:02.745044,284467,424,93557,621
2017-12-01 13:06:03.430192,314281,340,92614,521
2017-12-01 14:06:02.889606,490943,458,134140,821
2017-12-01 15:06:02.319281,520517,487,153997,932
2017-12-01 16:06:02.948168,518348,652,164170,1182
2017-12-01 17:06:02.537480,518739,831,172376,1182
2017-12-01 18:06:02.990385,537177,790,186635,1116
2017-12-01 19:06:03.147121,538321,914,194551,1244
